사용일자,노선명,역ID,역명,승차총승객수,하차총승객수,등록일자,호선,구,동,상세주소,전화번호,상세주소_역이름
20191216,1호선,153,종로3가,37567.0,34443.0,20191219,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191216,1호선,153,종로3가,37567.0,34443.0,20191219,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191216,3호선,319,종로3가,12528.0,15159.0,20191219,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191216,3호선,319,종로3가,12528.0,15159.0,20191219,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191216,5호선,2535,종로3가,17230.0,16887.0,20191219,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191216,5호선,2535,종로3가,17230.0,16887.0,20191219,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191217,1호선,153,종로3가,36452.0,33473.0,20191220,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191217,1호선,153,종로3가,36452.0,33473.0,20191220,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191217,3호선,319,종로3가,12687.0,15499.0,20191220,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191217,3호선,319,종로3가,12687.0,15499.0,20191220,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191217,5호선,2535,종로3가,16992.0,16103.0,20191220,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191217,5호선,2535,종로3가,16992.0,16103.0,20191220,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191218,1호선,153,종로3가,38428.0,35475.0,20191221,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191218,1호선,153,종로3가,38428.0,35475.0,20191221,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191218,3호선,319,종로3가,13259.0,16027.0,20191221,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191218,3호선,319,종로3가,13259.0,16027.0,20191221,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191218,5호선,2535,종로3가,18463.0,17606.0,20191221,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191218,5호선,2535,종로3가,18463.0,17606.0,20191221,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191219,1호선,153,종로3가,38674.0,36188.0,20191222,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191219,1호선,153,종로3가,38674.0,36188.0,20191222,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191219,3호선,319,종로3가,13285.0,16182.0,20191222,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191219,3호선,319,종로3가,13285.0,16182.0,20191222,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
