company,date,closing_price
에스티팜,2018.05.10,"36,000"
에스티팜,2018.05.09,"37,700"
에스티팜,2018.05.08,"35,100"
에스티팜,2018.05.04,"37,300"
에스티팜,2018.05.03,"38,350"
에스티팜,2018.05.02,"38,200"
에스티팜,2018.04.30,"39,800"
에스티팜,2018.04.27,"40,450"
에스티팜,2018.04.26,"40,050"
에스티팜,2018.04.25,"40,450"
에스티팜,2018.04.24,"40,450"
에스티팜,2018.04.23,"42,250"
에스티팜,2018.04.20,"42,800"
에스티팜,2018.04.19,"42,150"
에스티팜,2018.04.18,"43,250"
에스티팜,2018.04.17,"44,750"
에스티팜,2018.04.16,"44,300"
에스티팜,2018.04.13,"44,700"
에스티팜,2018.04.12,"44,100"
에스티팜,2018.04.11,"46,550"
에스티팜,2018.04.10,"47,050"
에스티팜,2018.04.09,"47,200"
에스티팜,2018.04.06,"45,600"
에스티팜,2018.04.05,"43,800"
에스티팜,2018.04.04,"44,150"
에스티팜,2018.04.03,"43,600"
에스티팜,2018.04.02,"42,650"
에스티팜,2018.03.30,"44,200"
에스티팜,2018.03.29,"45,550"
에스티팜,2018.03.28,"44,800"
에스티팜,2018.03.27,"45,400"
에스티팜,2018.03.26,"45,600"
에스티팜,2018.03.23,"43,050"
에스티팜,2018.03.22,"45,000"
에스티팜,2018.03.21,"47,050"
에스티팜,2018.03.20,"46,700"
에스티팜,2018.03.19,"42,950"
에스티팜,2018.03.16,"44,050"
에스티팜,2018.03.15,"44,000"
에스티팜,2018.03.14,"44,300"
에스티팜,2018.03.13,"45,350"
에스티팜,2018.03.12,"45,000"
에스티팜,2018.03.09,"44,800"
에스티팜,2018.03.08,"43,100"
에스티팜,2018.03.07,"40,300"
에스티팜,2018.03.06,"41,350"
에스티팜,2018.03.05,"39,300"
에스티팜,2018.03.02,"39,550"
에스티팜,2018.02.28,"39,650"
에스티팜,2018.02.27,"40,000"
에스티팜,2018.02.26,"41,300"
에스티팜,2018.02.23,"41,350"
에스티팜,2018.02.22,"41,350"
에스티팜,2018.02.21,"42,600"
에스티팜,2018.02.20,"42,450"
에스티팜,2018.02.19,"43,050"
에스티팜,2018.02.14,"40,750"
에스티팜,2018.02.13,"39,200"
에스티팜,2018.02.12,"40,700"
에스티팜,2018.02.09,"39,500"
에스티팜,2018.02.08,"41,050"
에스티팜,2018.02.07,"38,000"
에스티팜,2018.02.06,"38,800"
에스티팜,2018.02.05,"40,400"
에스티팜,2018.02.02,"43,900"
